Day fraction since midnight on 	Accumulator pressure (Pa)	DO probe (mg/L)	Lab Air supply pressure (Pa)	air valve control ()	Max calibration pressure (Pa)	source pressure (Pa)	Max calibration pressure ()	Delta P ()	air flow rate(R * T )/ V ()	Fill time (s)	air fill model (Pa)
0.6315024094	13032.2304687500	3.6831321716	21665.9218750000	0.2937276541	19499.3296875000	21665.9218750000	19499.3296875000	9499.3296875000	613.5000000000	15.4838299715	19499.3296875000
0.6315139917	13032.6533203125	3.7021806240	21665.9218750000	0.2936306270	19499.3296875000	21665.9218750000	19499.3296875000	9499.3296875000	613.5000000000	15.4838299715	19499.3296875000
0.6315255888	13023.9257812500	3.7141246796	21665.9218750000	0.2936915470	19499.3296875000	21665.9218750000	19499.3296875000	9499.3296875000	613.5000000000	15.4838299715	19499.3296875000
0.6315371332	13000.1308593750	3.7205321789	21602.4082031250	0.2943793265	19442.1673828125	21602.4082031250	19442.1673828125	9442.1673828125	613.5000000000	15.3906558807	19442.1673828125
0.6315487244	13016.6171875000	3.7417223454	21602.4082031250	0.2947115074	19442.1673828125	21602.4082031250	19442.1673828125	9442.1673828125	613.5000000000	15.3906558807	19442.1673828125
0.6315601943	13039.4160156250	3.7408735752	21602.4082031250	0.2952017280	19442.1673828125	21602.4082031250	19442.1673828125	9442.1673828125	613.5000000000	15.3906558807	19442.1673828125
0.6315718777	13010.9814453125	3.7511689663	21602.4082031250	0.2944748540	19442.1673828125	21602.4082031250	19442.1673828125	9442.1673828125	613.5000000000	15.3906558807	19442.1673828125
0.6315834505	13023.6464843750	3.7669186592	21602.4082031250	0.2946431226	19442.1673828125	21602.4082031250	19442.1673828125	9442.1673828125	613.5000000000	15.3906558807	19442.1673828125
0.6315950287	13038.6259765625	3.7842295170	21223.7480468750	0.3017701195	19101.3732421875	21223.7480468750	19101.3732421875	9101.3732421875	613.5000000000	14.8351642089	19101.3732421875
0.6316066020	13046.9326171875	3.7937631607	21223.7480468750	0.3022422236	19101.3732421875	21223.7480468750	19101.3732421875	9101.3732421875	613.5000000000	14.8351642089	19101.3732421875
0.6316181854	13035.9960937500	3.8148975372	21223.7480468750	0.3024071421	19101.3732421875	21223.7480468750	19101.3732421875	9101.3732421875	613.5000000000	14.8351642089	19101.3732421875
0.6316297457	13034.9814453125	3.8431107998	21223.7480468750	0.3020643248	19101.3732421875	21223.7480468750	19101.3732421875	9101.3732421875	613.5000000000	14.8351642089	19101.3732421875
0.6316413271	12997.6093750000	3.8779494762	21223.7480468750	0.3013282703	19101.3732421875	21223.7480468750	19101.3732421875	9101.3732421875	613.5000000000	14.8351642089	19101.3732421875
0.6316528880	13027.3906250000	3.9102940559	21240.8496093750	0.3012211162	19116.7646484375	21240.8496093750	19116.7646484375	9116.7646484375	613.5000000000	14.8602520757	19116.7646484375
0.6316644511	13006.1337890625	3.9431049824	21240.8496093750	0.3008174337	19116.7646484375	21240.8496093750	19116.7646484375	9116.7646484375	613.5000000000	14.8602520757	19116.7646484375
0.6316760204	12991.3398437500	3.9631624222	21240.8496093750	0.3011595023	19116.7646484375	21240.8496093750	19116.7646484375	9116.7646484375	613.5000000000	14.8602520757	19116.7646484375
0.6316875969	13022.9228515625	3.9859158993	21240.8496093750	0.3014652532	19116.7646484375	21240.8496093750	19116.7646484375	9116.7646484375	613.5000000000	14.8602520757	19116.7646484375
0.6316991848	13020.6552734375	4.0008740425	21240.8496093750	0.3012590322	19116.7646484375	21240.8496093750	19116.7646484375	9116.7646484375	613.5000000000	14.8602520757	19116.7646484375
0.6317107507	13021.5312500000	4.0303411484	21321.7011718750	0.2999772552	19189.5310546875	21321.7011718750	19189.5310546875	9189.5310546875	613.5000000000	14.9788607248	19189.5310546875
0.6317223567	13028.9873046875	4.0494041443	21321.7011718750	0.2999902267	19189.5310546875	21321.7011718750	19189.5310546875	9189.5310546875	613.5000000000	14.9788607248	19189.5310546875
0.6317339060	13004.6816406250	4.0739841461	21321.7011718750	0.2996204065	19189.5310546875	21321.7011718750	19189.5310546875	9189.5310546875	613.5000000000	14.9788607248	19189.5310546875
0.6317454968	13028.5488281250	4.0915865898	21321.7011718750	0.2999839197	19189.5310546875	21321.7011718750	19189.5310546875	9189.5310546875	613.5000000000	14.9788607248	19189.5310546875
0.6317570585	13028.5468750000	4.1002025604	21321.7011718750	0.2998397569	19189.5310546875	21321.7011718750	19189.5310546875	9189.5310546875	613.5000000000	14.9788607248	19189.5310546875
0.6317686286	13018.1826171875	4.1178894043	21286.6464843750	0.3001800866	19157.9818359375	21286.6464843750	19157.9818359375	9157.9818359375	613.5000000000	14.9274357554	19157.9818359375
0.6317802128	13008.0371093750	4.1256742477	21286.6464843750	0.3004867833	19157.9818359375	21286.6464843750	19157.9818359375	9157.9818359375	613.5000000000	14.9274357554	19157.9818359375
0.6317917904	13019.8603515625	4.1500072479	21286.6464843750	0.3008646622	19157.9818359375	21286.6464843750	19157.9818359375	9157.9818359375	613.5000000000	14.9274357554	19157.9818359375
0.6318033490	13000.0429687500	4.1551685333	21286.6464843750	0.3002534856	19157.9818359375	21286.6464843750	19157.9818359375	9157.9818359375	613.5000000000	14.9274357554	19157.9818359375
0.6318149430	13009.3632812500	4.1622838974	21286.6464843750	0.3001257186	19157.9818359375	21286.6464843750	19157.9818359375	9157.9818359375	613.5000000000	14.9274357554	19157.9818359375
0.6318265126	13013.3232421875	4.1759190559	21400.7285156250	0.2986128316	19260.6556640625	21400.7285156250	19260.6556640625	9260.6556640625	613.5000000000	15.0947932585	19260.6556640625
0.6318380208	13029.8593750000	4.1781711578	21400.7285156250	0.2984876870	19260.6556640625	21400.7285156250	19260.6556640625	9260.6556640625	613.5000000000	15.0947932585	19260.6556640625
0.6318496654	13017.4873046875	4.1954598427	21400.7285156250	0.2982891361	19260.6556640625	21400.7285156250	19260.6556640625	9260.6556640625	613.5000000000	15.0947932585	19260.6556640625
0.6318612222	13039.2167968750	4.2023077011	21400.7285156250	0.2985689248	19260.6556640625	21400.7285156250	19260.6556640625	9260.6556640625	613.5000000000	15.0947932585	19260.6556640625
0.6318727998	13028.5527343750	4.2117261887	21400.7285156250	0.2984825490	19260.6556640625	21400.7285156250	19260.6556640625	9260.6556640625	613.5000000000	15.0947932585	19260.6556640625
0.6318843499	13020.4824218750	4.2247858047	21306.3945312500	0.3001823700	19175.7550781250	21306.3945312500	19175.7550781250	9175.7550781250	613.5000000000	14.9564059953	19175.7550781250
0.6318959502	13023.7578125000	4.2307710648	21306.3945312500	0.3002271090	19175.7550781250	21306.3945312500	19175.7550781250	9175.7550781250	613.5000000000	14.9564059953	19175.7550781250
0.6319075191	13031.2265625000	4.2530355453	21306.3945312500	0.3003516824	19175.7550781250	21306.3945312500	19175.7550781250	9175.7550781250	613.5000000000	14.9564059953	19175.7550781250
0.6319190891	13000.2548828125	4.2605509758	21306.3945312500	0.2995276521	19175.7550781250	21306.3945312500	19175.7550781250	9175.7550781250	613.5000000000	14.9564059953	19175.7550781250
0.6319306664	13025.8925781250	4.2744598389	21306.3945312500	0.3003662431	19175.7550781250	21306.3945312500	19175.7550781250	9175.7550781250	613.5000000000	14.9564059953	19175.7550781250
0.6319422281	13021.1914062500	4.2789440155	21736.3730468750	0.2922705707	19562.7357421875	21736.3730468750	19562.7357421875	9562.7357421875	613.5000000000	15.5871813239	19562.7357421875
0.6319538196	13025.0234375000	4.2886095047	21736.3730468750	0.2920336861	19562.7357421875	21736.3730468750	19562.7357421875	9562.7357421875	613.5000000000	15.5871813239	19562.7357421875
0.6319653884	13023.6523437500	4.3008551598	21736.3730468750	0.2925598153	19562.7357421875	21736.3730468750	19562.7357421875	9562.7357421875	613.5000000000	15.5871813239	19562.7357421875
0.6319769604	13030.3916015625	4.3065271378	21736.3730468750	0.2930242515	19562.7357421875	21736.3730468750	19562.7357421875	9562.7357421875	613.5000000000	15.5871813239	19562.7357421875
0.6319885345	13026.8505859375	4.3283057213	21736.3730468750	0.2918842614	19562.7357421875	21736.3730468750	19562.7357421875	9562.7357421875	613.5000000000	15.5871813239	19562.7357421875
0.6320001167	13032.9169921875	4.3285741806	21936.8750000000	0.2886108796	19743.1875000000	21936.8750000000	19743.1875000000	9743.1875000000	613.5000000000	15.8813162184	19743.1875000000
