Day fraction since midnight on 	photometer (mg/L)	photometer (volts)
0.6331881894	1.0841356516	3.2813272476
0.6332460586	1.0678620338	3.2892136574
0.6333039133	1.0658665895	3.2901816368
0.6333617956	1.0654075146	3.2904043198
0.6334196724	1.0324038267	3.3064441681
0.6334775434	1.0124404430	3.3161735535
0.6335354063	0.9884366989	3.3278992176
0.6335932874	0.9648869634	3.3394320011
0.6336511397	0.9343103766	3.3544487953
0.6337090012	0.9262769222	3.3584022522
0.6337668899	0.8798611760	3.3813102245
0.6338247580	0.8703812361	3.3860027790
0.6338826176	0.8137518167	3.4141321182
0.6339404932	0.7985748649	3.4216995239
0.6339983570	0.8049329519	3.4185278416
0.6340562383	0.8122861385	3.4148623943
0.6341140919	0.7228915095	3.4596176147
0.6341719667	1.1042098999	3.2716176510
0.6342298374	1.1345435381	3.2569847107
0.6342876987	1.2811119556	3.1869363785
0.6343455944	1.0607430935	3.2926678658
0.6344034452	0.7766714692	3.4326422215
0.6344613141	1.1415358782	3.2536182404
0.6345191879	0.8515890241	3.3953187466
0.6345770608	1.0624870062	3.2918214798
0.6346349315	0.9766647220	3.3336606026
0.6346927828	0.8902392387	3.3761785030
0.6347506635	1.0117968321	3.3164875507
0.6348085321	0.7059202194	3.4681620598
0.6348664008	0.6652184725	3.4887163639
0.6349242569	0.6238324642	3.5097069740
0.6349821381	0.6101319790	3.5166759491
0.6350400090	0.7451468706	3.4484360218
0.6350978704	0.7285715342	3.4567613602
0.6351557465	0.9450986385	3.3491449356
0.6352136110	0.6730203629	3.4847695827
0.6352715010	0.9956956506	3.3243501186
0.6353293442	0.7890231013	3.4264683723
0.6353872445	1.0428489447	3.3013617992
0.6354451198	0.8481533527	3.3970239162
0.6355029711	0.6860514879	3.4781847000
0.6355608409	1.1811956167	3.2345709801
0.6356187149	0.6781487465	3.4821770191
0.6356765815	1.0225563049	3.3112409115
0.6357344326	0.7633252740	3.4393222332
0.6357923159	1.0634877682	3.2913358212
0.6358501986	0.8436689973	3.3992505074
0.6359080573	0.7369640470	3.4525442123
0.6359659330	0.9438419342	3.3497624397
0.6360237912	0.7782775164	3.4318389893
0.6360816598	1.3812242746	3.1397094727
0.6361395613	0.6889404655	3.4767260551
0.6361974089	1.0443683863	3.3006229401
0.6362552573	0.7799234390	3.4310159683
0.6363131392	0.6051610112	3.5192070007
0.6363710294	1.1189323664	3.2645096779
0.6364288667	0.7812677622	3.4303438663
0.6364867815	2.0245847702	2.8478324413
0.6365446223	2.9633643627	2.4559586048
0.6366024968	1.6059552431	3.0354948044
0.6366603509	0.9488555193	3.3472993374
0.6367182192	0.5750917792	3.5345456600
